"{*HEADER*}",21
"PRF5 emettitore"
"         N Bulk"
"0.05 uM Diamond"
"          <100>"
8492.44        
" 2 pt probe - I"
"       customer"
0.00798        
1.00           
"        SSM 150"
"CNR-IMM        "
"11 Nov 25      "
"09:35:30       "
5.0            
50.0           
1115894        
"      Low power"
"          North"
"     unassigned"
"          South"
"     unassigned"
"{*COMMENT*}",4
"                                                                              "
"                                                                              "
"                                                                              "
"  1: VAR         2: VAR                                                0000000"
"{*LAYER SUMMARY*}",2
1,1.0,28.0,"P","Manual",0.2155,"VAR",0.2155,6250.1381,4.2927E+012
2,29.0,255.0,"N","Manual",1.8115,"VAR",2.0269,0.0000,2.5539E+012
"{*MEASUREMENT VALUES*}",255
1,0.0000,3.8184,-0.9995,17.4415
2,0.0080,3.8294,-1.0163,17.4668
3,0.0160,3.8416,-1.0359,17.4963
4,0.0239,3.8563,-1.0536,17.5230
5,0.0319,3.8740,-1.0669,17.5433
6,0.0399,3.8954,-1.0704,17.5486
7,0.0479,3.9199,-1.0646,17.5398
8,0.0559,3.9464,-1.0558,17.5265
9,0.0638,3.9746,-1.0457,17.5111
10,0.0718,4.0048,-1.0331,17.4921
11,0.0798,4.0372,-1.0173,17.4682
12,0.0878,4.0719,-0.9972,17.4381
13,0.0958,4.1089,-0.9728,17.4016
14,0.1037,4.1479,-0.9451,17.3606
15,0.1117,4.1890,-0.9154,17.3170
16,0.1197,4.2324,-0.8841,17.2713
17,0.1277,4.2782,-0.8512,17.2238
18,0.1357,4.3272,-0.8162,17.1739
19,0.1436,4.3800,-0.7778,17.1197
20,0.1516,4.4375,-0.7253,17.0468
21,0.1596,4.4989,-0.6703,16.9719
22,0.1676,4.5683,-0.5834,16.8566
23,0.1756,4.6418,-0.4835,16.7286
24,0.1835,4.7250,-0.3088,16.5152
25,0.1915,4.8110,-0.0134,16.1787
26,0.1995,4.8967,0.4255,15.7125
27,0.2075,4.9802,0.8758,15.2526
28,0.2155,5.0617,1.3154,14.8099
29,0.2234,4.8207,1.0022,14.6457
30,0.2314,4.5587,0.7526,14.9013
31,0.2394,4.3385,0.5339,15.1266
32,0.2474,4.1571,0.3421,15.3258
33,0.2554,4.0105,0.1736,15.5025
34,0.2633,3.9024,0.0366,15.6479
35,0.2713,3.8357,-0.0678,15.7599
36,0.2793,3.7905,-0.1518,15.8513
37,0.2873,3.7529,-0.2273,15.9343
38,0.2953,3.7173,-0.3048,16.0206
39,0.3032,3.7057,-0.3317,16.0509
40,0.3112,3.6935,-0.3609,16.0839
41,0.3192,3.6811,-0.3923,16.1197
42,0.3272,3.6698,-0.4221,16.1540
43,0.3352,3.6615,-0.4456,16.1812
44,0.3431,3.6557,-0.4630,16.2014
45,0.3511,3.6508,-0.4789,16.2199
46,0.3591,3.6458,-0.4954,16.2393
47,0.3671,3.6413,-0.5114,16.2581
48,0.3751,3.6373,-0.5266,16.2761
49,0.3830,3.6342,-0.5394,16.2914
50,0.3910,3.6314,-0.5524,16.3068
